OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,SHAPESTArea,SHAPESTLength
2758,37,119,005619,2,371190056192,Block Group 2,0016485,"Block Group 2, Census Tract 56.19, Mecklenburg County, North Carolina",927,801,212,10,0,10,232,0.25026969,30953517.564209,27360.3765996086
2759,37,119,005713,2,371190057132,Block Group 2,0016506,"Block Group 2, Census Tract 57.13, Mecklenburg County, North Carolina",789,766,46,0,0,0,46,0.05830165,68471281.5975952,47526.4247086549
2760,37,119,000500,1,371190005001,Block Group 1,0016139,"Block Group 1, Census Tract 5, Mecklenburg County, North Carolina",1095,597,152,106,316,0,574,0.52420091,5132124.75915527,11228.4937011256
2761,37,119,002905,1,371190029051,Block Group 1,0016274,"Block Group 1, Census Tract 29.05, Mecklenburg County, North Carolina",709,667,42,3,0,18,63,0.08885755,22313643.2077637,21999.764973053
2762,37,119,001921,1,371190019211,Block Group 1,0016226,"Block Group 1, Census Tract 19.21, Mecklenburg County, North Carolina",1267,1000,490,16,0,6,512,0.40410418,27694016.6578979,25936.2770050327
2763,37,119,002702,1,371190027021,Block Group 1,0016260,"Block Group 1, Census Tract 27.02, Mecklenburg County, North Carolina",950,806,60,42,72,0,174,0.18315789,17377503.4723511,18116.2113867499
2764,37,119,003016,2,371190030162,Block Group 2,0016302,"Block Group 2, Census Tract 30.16, Mecklenburg County, North Carolina",425,349,152,0,0,0,152,0.35764706,15405231.8237915,19721.8581009329
2765,37,119,002903,1,371190029031,Block Group 1,0016266,"Block Group 1, Census Tract 29.03, Mecklenburg County, North Carolina",323,313,20,0,0,0,20,0.0619195,14467949.1078491,16041.1287360367
2766,37,119,005815,2,371190058152,Block Group 2,0016522,"Block Group 2, Census Tract 58.15, Mecklenburg County, North Carolina",414,389,38,0,6,0,44,0.10628019,13338339.6357422,15436.9305958635
2767,37,119,005711,3,371190057113,Block Group 3,0016502,"Block Group 3, Census Tract 57.11, Mecklenburg County, North Carolina",1659,1550,84,38,0,29,151,0.09101869,49110888.4057007,32645.9044976731
2768,37,119,003802,2,371190038022,Block Group 2,0016344,"Block Group 2, Census Tract 38.02, Mecklenburg County, North Carolina",872,614,290,104,9,0,403,0.46215596,27874966.7703857,30659.803721361
2769,37,119,005520,2,371190055202,Block Group 2,0016446,"Block Group 2, Census Tract 55.20, Mecklenburg County, North Carolina",392,359,66,0,0,0,66,0.16836735,25891139.3278198,22543.9569387336
2770,37,119,003808,2,371190038082,Block Group 2,0016354,"Block Group 2, Census Tract 38.08, Mecklenburg County, North Carolina",2107,1028,1776,183,0,8,1967,0.93355482,16044865.4284058,18318.6666597007
2771,37,119,005825,2,371190058252,Block Group 2,0016533,"Block Group 2, Census Tract 58.25, Mecklenburg County, North Carolina",864,775,132,0,0,23,155,0.17939815,31851602.1791992,33351.4418664898
2772,37,119,000600,1,371190006001,Block Group 1,0016142,"Block Group 1, Census Tract 6, Mecklenburg County, North Carolina",587,407,22,38,131,0,191,0.3253833,3940934.78082275,9395.53447917543
2773,37,119,001508,2,371190015082,Block Group 2,0016170,"Block Group 2, Census Tract 15.08, Mecklenburg County, North Carolina",1386,1159,226,30,47,37,340,0.24531025,26881397.5784912,23269.4368106112
2774,37,119,000500,2,371190005002,Block Group 2,0016140,"Block Group 2, Census Tract 5, Mecklenburg County, North Carolina",816,413,56,41,334,0,431,0.52818627,7227295.04907227,11847.3802714981
2775,37,119,005846,1,371190058461,Block Group 1,0016577,"Block Group 1, Census Tract 58.46, Mecklenburg County, North Carolina",728,657,54,17,14,13,98,0.13461538,20233238.7433472,24039.8148836128
